estado,ano,mes,producao_litros,temperatura_media,chuvas_mm,preco_litro
RS,2021,5,1304,20.337456557812423,65.86969638909699,2.01
PA,2018,10,11270,31.494600353922337,42.66784581663629,1.81
CE,2022,3,18638,24.828992529003166,87.02659500060489,1.93
PA,2019,2,23045,25.207055965363026,25.058761054660565,1.87
MG,2021,3,10184,25.491699454073586,83.90115049629102,2.33
SP,2017,8,4835,25.48541361013792,140.04767846505774,2.23
CE,2021,6,18452,22.135579785856567,149.08949182845345,2.12
BA,2022,7,16325,30.337557872888407,82.89978658621371,1.98
CE,2019,12,9555,23.144434659769022,246.79874373190546,2.41
GO,2018,6,8921,26.87255333292998,163.6670276025821,2.37
PA,2022,6,8413,22.575196133336256,98.50152879652451,2.07
PA,2022,12,10277,22.043200490690058,157.07117123491795,2.51
RS,2017,3,13580,29.70559383975297,71.02534660994267,2.04
PE,2020,12,9169,23.67488689014348,112.69578596674023,2.16
CE,2019,8,9802,23.897678397031367,81.97166341050728,1.93
SP,2016,12,15206,24.85085161651503,39.41115403975096,1.98
CE,2022,7,4587,31.805311413962407,126.63155671885316,1.91
PR,2020,7,10120,30.50628350376428,99.70488788397248,2.31
PE,2016,6,3620,27.851347824977317,103.41416379693193,2.21
BA,2019,5,12542,32.56086774822135,98.64323836904286,1.78
GO,2015,10,2302,21.166269840237273,55.094939760012885,2.27
PR,2020,8,16450,25.96765197207417,179.41689786136754,2.64
BA,2023,5,5426,24.227468792941316,112.43691148642725,1.9
MG,2015,9,3137,18.69273680389243,86.65170269082189,1.88
RS,2017,9,10181,25.389290791991325,34.53948237329105,2.1
PR,2021,1,20555,22.52752056025785,170.16902663718272,2.51
MG,2018,6,15555,28.60050252294093,145.86591139383475,1.97
RS,2023,7,2388,22.814934406684895,100.07546995891077,2.65
PR,2017,3,5284,22.644324092331473,35.79352337090789,1.78
CE,2019,7,10021,28.599206477553913,182.9465627489748,2.16
RS,2017,11,23191,23.803638064733487,81.76047091932477,1.59
RS,2021,11,7305,27.488633081241467,66.4244577629151,1.82
PR,2019,7,7345,25.273078319769898,97.54386386887049,2.04
CE,2023,11,19637,25.313314383910416,118.75680360877817,2.18
CE,2021,2,12974,23.26785788135878,91.56835451540455,2.47
MG,2016,7,17265,25.506630137121025,0.0,1.89
PE,2018,1,8364,23.605524564032322,112.48130128023642,2.23
PA,2023,5,11491,21.588589657030894,146.1290981730582,1.7
MG,2016,9,18578,23.687237054050637,55.447474139618535,2.4
SP,2023,7,11275,27.86349236602517,178.0276479958477,2.49
PA,2019,7,17615,25.6080276767741,143.74354376546086,2.41
BA,2016,11,13936,26.3053221939803,123.43876030567546,2.41
GO,2018,12,6801,24.004402114326332,49.295583340869534,2.07
SP,2021,2,11918,18.186629531455516,113.94342097790388,2.18
PA,2022,8,16906,20.33571450474277,117.7464961696325,2.07
BA,2017,3,15347,23.132983339368398,95.90384625767217,2.09
RS,2015,8,11798,20.59481296344814,144.5669823422399,1.88
SC,2018,3,2541,22.426927312227683,81.96347208777969,2.18
MG,2016,10,3020,22.318336290857395,86.4186010128015,2.23
BA,2022,7,4083,22.408773779617302,66.68142961476492,2.4
RS,2018,2,9447,28.31150956591234,77.43816272165445,2.22
SP,2016,4,10114,23.841065175211412,92.50047746101163,2.36
RS,2020,11,4622,26.804010474301602,90.69452426220182,1.88
PA,2020,6,17112,24.491834833674076,88.44815321693007,2.53
PR,2018,11,5681,28.24723982298034,146.2048970483114,2.03
SP,2020,9,5147,27.062938815442877,175.13489331720984,1.49
SP,2016,5,12441,22.2254523909883,35.90739213102138,1.98
RS,2016,9,16869,29.884888419894537,173.97307167348828,2.27
SP,2018,5,22274,22.63643277894475,133.72327122455488,2.12
